"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Mar 06 12:46:50 IST 2023","Mon Mar 06 12:46:51 IST 2023","311","","Food ordering application","","","","Add menu",""
"broken","Mon Mar 06 13:03:34 IST 2023","Mon Mar 06 13:03:35 IST 2023","344","","Food ordering application","","","","Verify restuarant is created",""
"broken","Mon Mar 06 12:42:13 IST 2023","Mon Mar 06 12:42:34 IST 2023","21628","","Food ordering application","","","","Login to the admin page",""
"broken","Mon Mar 06 12:42:49 IST 2023","Mon Mar 06 12:42:50 IST 2023","398","","Food ordering application","","","","Verify restuarant is created",""
"broken","Mon Mar 06 13:03:23 IST 2023","Mon Mar 06 13:03:34 IST 2023","11387","","Food ordering application","","","","Add restaurant",""
"broken","Mon Mar 06 12:40:51 IST 2023","Mon Mar 06 12:41:06 IST 2023","14579","","Food ordering application","","","","Login to the admin page",""
"passed","Mon Mar 06 12:04:15 IST 2023","Mon Mar 06 12:04:38 IST 2023","22808","","Navigate to the application","","","","Choose restaurant",""
"passed","Mon Mar 06 12:46:17 IST 2023","Mon Mar 06 12:46:50 IST 2023","32731","","Food ordering application","","","","Login to the admin page",""
"passed","Mon Mar 06 12:04:38 IST 2023","Mon Mar 06 12:04:38 IST 2023","3","","Navigate to the application","","","","Select the Dishes",""
"broken","Mon Mar 06 12:46:51 IST 2023","Mon Mar 06 12:47:01 IST 2023","10234","","Food ordering application","","","","Verify menu is created",""
"broken","Mon Mar 06 12:41:06 IST 2023","Mon Mar 06 12:41:16 IST 2023","10307","","Food ordering application","","","","Add restaurant",""
"broken","Mon Mar 06 12:41:16 IST 2023","Mon Mar 06 12:41:17 IST 2023","388","","Food ordering application","","","","Verify restuarant is created",""
"broken","Mon Mar 06 13:06:39 IST 2023","Mon Mar 06 13:06:54 IST 2023","14656","","Food ordering application","","","","Add restaurant",""
"broken","Mon Mar 06 12:02:33 IST 2023","Mon Mar 06 12:02:54 IST 2023","21066","","Navigate to the application","","","","Login to the application",""
"broken","Mon Mar 06 13:03:01 IST 2023","Mon Mar 06 13:03:23 IST 2023","21575","","Food ordering application","","","","Login to the admin page",""
"passed","Mon Mar 06 12:03:34 IST 2023","Mon Mar 06 12:04:15 IST 2023","40853","","Navigate to the application","","","","Login to the application",""
"broken","Mon Mar 06 13:06:18 IST 2023","Mon Mar 06 13:06:39 IST 2023","20864","","Food ordering application","","","","Login to the admin page",""
"broken","Mon Mar 06 13:06:54 IST 2023","Mon Mar 06 13:06:54 IST 2023","319","","Food ordering application","","","","Verify restuarant is created",""
"broken","Mon Mar 06 12:42:34 IST 2023","Mon Mar 06 12:42:49 IST 2023","14796","","Food ordering application","","","","Add restaurant",""
"broken","Mon Mar 06 12:04:38 IST 2023","Mon Mar 06 12:04:53 IST 2023","14819","","Navigate to the application","","","","Compare the amount",""
